feature,gain
item_age_days,2715.8187928590924
item_pop,1696.4683315022849
retriever_score,1536.8048061487498
item_price,1404.4714314453304
price_gap,1258.2604507505894
rating_vs_user_mean,1133.0486213881522
item_avg_rating,1078.910779863596
days_since_user_last,1075.174568011309
user_activity,967.7579064406455
user_avg_rating,768.4076910018921
brand_match,218.92319810390472
cat_match,54.43269866704941
