bucket,users,Recall@20 (pop),NDCG@20 (pop),Recall@20 (two-tower),NDCG@20 (two-tower)
1-4,57923,0.00817597517153556,0.0035679685370425505,0.002668355834817077,0.0014087373305926517
20-+,6001,0.004538073104994067,0.0019161855799337292,0.0033143070202011327,0.001732189564885195
5-19,63984,0.007639962439024191,0.003086640675319062,0.0024445501846101997,0.001201848389768963
