lambda,NDCG@10,Recall@10,Coverage@10,intra_list_similarity
1.0,0.002129413234486058,0.003391666666666666,0.08755744818696559,0.5181170556172728
0.9,0.002113794014651406,0.003391666666666666,0.08721326521659907,0.5075652013197541
0.8,0.0020382268830772994,0.0033083333333333333,0.0869298204174737,0.4939180392771959
0.7,0.0019517384512493208,0.0033083333333333333,0.0866868677325091,0.4769767507910728
0.6,0.0020531832330586896,0.0033083333333333333,0.08709853755981023,0.45375156425684693
0.5,0.0016844848336579113,0.002583333333333333,0.08769917058652828,0.4237138081341982
