method,Recall@10,NDCG@10,Recall@20,NDCG@20,Recall@50,NDCG@50,Coverage@50
Random,0.0001,0.0001,0.0002,0.0001,0.0003,0.0001,1.0
Popularity,0.0035,0.0021,0.0078,0.0034,0.0191,0.0062,0.0005
